total_cup_points,country_of_origin,harvest_year,variety,processing_method,moisture,category_one_defects,quakers,color,category_two_defects,altitude_mean_meters,region
83.33,Costa Rica,2014,Caturra,Washed / Wet,0.12,0,0.0,Green,3,1300.0,Latin America
83.33,Costa Rica,2013,Catuai,Washed / Wet,0.11,0,0.0,Green,3,1200.0,Latin America
83.33,Haiti,2012,Typica,Washed / Wet,0.11,0,0.0,Green,4,1280.16,Latin America
83.33,Colombia,2013,Caturra,Natural / Dry,0.11,0,0.0,Green,1,1000.0,Latin America
83.33,Guatemala,2013,Bourbon,Washed / Wet,0.11,0,0.0,Green,3,1310.64,Latin America
83.33,Colombia,2012,Caturra,Washed / Wet,0.0,0,0.0,Green,1,1750.0,Latin America
83.25,Mexico,2017,Typica,Washed / Wet,0.11,0,0.0,Blue-Green,0,1600.0,Latin America
83.25,Costa Rica,2016,Catuai,Pulped natural / honey,0.11,0,0.0,Green,0,1900.0,Latin America
83.25,Guatemala,2016,Pacas,Washed / Wet,0.11,0,2.0,Green,7,2100.0,Latin America
83.25,Colombia,2015/2016,Caturra,Natural / Dry,0.0,0,0.0,Green,2,442.0,Latin America
83.25,Mexico,2015,Typica,Natural / Dry,0.12,0,0.0,Bluish-Green,2,1261.0,Latin America
83.25,Taiwan,2015,Bourbon,Washed / Wet,0.1,0,0.0,Blue-Green,0,1000.0,Southeast Asia and the Pacific
83.25,Taiwan,2014,Typica,Washed / Wet,0.1,0,0.0,Green,0,800.0,Southeast Asia and the Pacific
83.25,Colombia,2014,Caturra,Natural / Dry,0.0,0,0.0,Green,0,1483.0,Latin America
83.25,Guatemala,2014,Caturra,Washed / Wet,0.1,0,0.0,Green,1,1500.0,Latin America
83.25,Colombia,2013,Caturra,Washed / Wet,0.11,0,0.0,Green,1,1750.0,Latin America
83.25,Mexico,2013,Bourbon,Washed / Wet,0.12,0,0.0,Green,6,1300.0,Latin America
83.25,Mexico,2012,Caturra,Washed / Wet,0.12,0,0.0,Blue-Green,0,1000.0,Latin America
83.25,Guatemala,2012,Bourbon,Washed / Wet,0.11,0,0.0,Green,9,1310.64,Latin America
83.25,Brazil,2012,Yellow Bourbon,Semi-washed / Semi-pulped,0.11,0,0.0,Blue-Green,1,1200.0,Latin America
83.25,Colombia,2012,Caturra,Washed / Wet,0.12,0,0.0,Green,1,175.0,Latin America
83.25,Colombia,2012,Caturra,Washed / Wet,0.11,0,0.0,Green,0,1775.0,Latin America
83.17,Brazil,2017 / 2018,Bourbon,Natural / Dry,0.11,0,0.0,Green,4,890.0,Latin America
83.17,Guatemala,2017,Bourbon,Washed / Wet,0.1,0,0.0,Green,1,1901.0,Latin America
83.17,"Tanzania, United Republic Of",2016,Bourbon,Washed / Wet,0.12,0,0.0,Green,3,168.0,East Africa and the Arabian Peninsula
83.17,Vietnam,2017,Catimor,Natural / Dry,0.07,0,0.0,None,0,1550.0,Southeast Asia and the Pacific
83.17,Guatemala,2016,Caturra,Washed / Wet,0.11,2,2.0,Green,3,1500.0,Latin America
83.17,Honduras,2016,Catuai,Washed / Wet,0.11,0,1.0,Blue-Green,1,1450.0,Latin America
83.17,China,2015,Catimor,Washed / Wet,0.11,0,0.0,Green,0,1200.0,Southeast Asia and the Pacific
83.17,China,2015,Catimor,Washed / Wet,0.1,0,0.0,Green,3,1600.0,Southeast Asia and the Pacific
83.17,El Salvador,2016,Bourbon,Washed / Wet,0.0,0,0.0,Green,0,1350.0,Latin America
83.17,Guatemala,2015,Bourbon,Washed / Wet,0.11,0,0.0,Green,1,1500.0,Latin America
83.17,Guatemala,2015,Bourbon,Washed / Wet,0.12,0,0.0,Green,3,1650.0,Latin America
83.17,Kenya,2014,SL28,Washed / Wet,0.1,0,0.0,Bluish-Green,1,250.5,East Africa and the Arabian Peninsula
83.17,"Tanzania, United Republic Of",2014,Other,Washed / Wet,0.13,0,0.0,Bluish-Green,6,1653.0,East Africa and the Arabian Peninsula
83.17,Uganda,2014,SL14,Washed / Wet,0.1,0,0.0,Bluish-Green,0,1800.0,East Africa and the Arabian Peninsula
83.17,Honduras,2013,Catuai,Natural / Dry,0.1,0,0.0,Green,5,1450.0,Latin America
83.17,Honduras,2014/2015,Caturra,Natural / Dry,0.11,0,0.0,Green,3,1350.0,Latin America
83.17,Guatemala,2014,Catuai,Washed / Wet,0.09,0,0.0,Green,1,1524.0,Latin America
83.17,"Tanzania, United Republic Of",2014,Bourbon,Washed / Wet,0.12,0,0.0,Green,1,1800.0,East Africa and the Arabian Peninsula
83.17,Guatemala,2013,Bourbon,Washed / Wet,0.11,0,0.0,Green,2,1310.64,Latin America
83.17,Mexico,2013,Typica,Washed / Wet,0.11,0,0.0,Green,2,1500.0,Latin America
83.17,Mexico,2012,Typica,Washed / Wet,0.12,3,0.0,None,8,532.0,Latin America
83.17,Mexico,2012,Pacamara,Washed / Wet,0.14,0,0.0,None,10,1089.0,Latin America
83.17,Colombia,2012,Caturra,Washed / Wet,0.11,1,0.0,Green,2,1775.0,Latin America
83.17,Mexico,2012,Typica,Washed / Wet,0.13,0,0.0,Green,5,700.0,Latin America
83.17,Colombia,2012,Caturra,Washed / Wet,0.11,0,0.0,Blue-Green,0,1750.0,Latin America
83.17,Brazil,2012,Mundo Novo,Natural / Dry,0.12,0,0.0,Green,1,1000.0,Latin America
83.17,Brazil,2012,Mundo Novo,Natural / Dry,0.11,0,0.0,Green,4,950.0,Latin America
83.17,Guatemala,2012,Bourbon,Washed / Wet,0.0,0,0.0,Green,10,1402.08,Latin America
83.17,Brazil,2011,Mundo Novo,Semi-washed / Semi-pulped,0.12,0,0.0,Blue-Green,3,1000.0,Latin America
83.08,Colombia,2016,Caturra,Washed / Wet,0.0,0,1.0,Green,4,1799.0,Latin America
83.08,Brazil,2015,Yellow Bourbon,Pulped natural / honey,0.11,0,2.0,Bluish-Green,2,905.0,Latin America
83.08,Brazil,2015/2016,Yellow Bourbon,Natural / Dry,0.0,0,0.0,Green,3,1.0,Latin America
83.08,Taiwan,2015,Typica,Natural / Dry,0.0,0,0.0,Green,0,750.0,Southeast Asia and the Pacific
83.08,Brazil,2014/2015,Bourbon,Washed / Wet,0.0,0,0.0,Green,1,1200.0,Latin America
83.08,Costa Rica,2014,Catuai,Washed / Wet,0.1,0,0.0,Green,3,1300.0,Latin America
83.0,Brazil,2017 / 2018,Bourbon,Natural / Dry,0.0,0,0.0,Green,4,890.0,Latin America
83.0,Brazil,2016,Bourbon,Natural / Dry,0.11,0,3.0,Green,5,894.0,Latin America
83.0,Brazil,2016,Bourbon,Natural / Dry,0.11,0,2.0,Bluish-Green,3,872.0,Latin America
83.0,Uganda,2015,Bourbon,Washed / Wet,0.12,0,0.0,Green,6,1473.0,East Africa and the Arabian Peninsula
83.0,Uganda,2015,Bourbon,Natural / Dry,0.12,0,5.0,Green,8,1645.0,East Africa and the Arabian Peninsula
83.0,Vietnam,2014,Caturra,Other,0.0,0,0.0,Green,0,1550.0,Southeast Asia and the Pacific
83.0,Guatemala,2015,Catuai,Washed / Wet,0.11,0,0.0,Green,3,1550.0,Latin America
83.0,Guatemala,2015,Catuai,Washed / Wet,0.11,0,0.0,Green,2,1371.6,Latin America
83.0,Guatemala,2015,Bourbon,Washed / Wet,0.11,0,0.0,Green,2,1500.0,Latin America
83.0,Brazil,2014,Catuai,Natural / Dry,0.0,0,0.0,Green,0,1000.0,Latin America
83.0,Taiwan,2014,Typica,Washed / Wet,0.08,0,0.0,Green,0,1200.0,Southeast Asia and the Pacific
83.0,Uganda,2013,SL14,Washed / Wet,0.12,0,0.0,Green,0,1800.0,East Africa and the Arabian Peninsula
83.0,United States (Puerto Rico),2013,Other,Washed / Wet,0.0,0,0.0,Bluish-Green,0,853.44,Latin America
83.0,Guatemala,2014,Bourbon,Washed / Wet,0.1,1,0.0,Green,0,1500.0,Latin America
83.0,Costa Rica,2013,Catuai,Washed / Wet,0.11,0,0.0,Green,3,1200.0,Latin America
83.0,Brazil,2013/2014,Yellow Bourbon,Semi-washed / Semi-pulped,0.12,0,0.0,Bluish-Green,4,1250.0,Latin America
83.0,Colombia,2013,Caturra,Washed / Wet,0.11,1,0.0,Green,1,1775.0,Latin America
83.0,Colombia,2013,Caturra,Washed / Wet,0.0,0,0.0,Green,0,1750.0,Latin America
83.0,Colombia,2013,Caturra,Natural / Dry,0.11,0,0.0,Green,1,1000.0,Latin America
83.0,Colombia,2013,Caturra,Natural / Dry,0.0,0,0.0,Green,2,1000.0,Latin America
83.0,Colombia,2012,Caturra,Washed / Wet,0.11,1,0.0,Green,2,1775.0,Latin America
83.0,Mexico,2012,Typica,Washed / Wet,0.11,0,0.0,Green,20,750.0,Latin America
83.0,Mexico,2012,Typica,Semi-washed / Semi-pulped,0.11,0,0.0,Green,7,1200.0,Latin America
83.0,Mexico,2012,Bourbon,Washed / Wet,0.11,5,0.0,Green,8,1200.0,Latin America
83.0,Colombia,2012,Caturra,Washed / Wet,0.0,0,0.0,Green,4,1625.0,Latin America
83.0,Colombia,2012,Caturra,Washed / Wet,0.11,0,0.0,Green,0,1750.0,Latin America
83.0,Guatemala,2012,Bourbon,Washed / Wet,0.1,0,0.0,Green,2,1371.6,Latin America
83.0,Colombia,2011,Caturra,Washed / Wet,0.12,0,0.0,Bluish-Green,0,1775.0,Latin America
82.92,Brazil,2017 / 2018,Bourbon,Natural / Dry,0.0,0,0.0,Green,0,890.0,Latin America
82.92,El Salvador,2017,Bourbon,Washed / Wet,0.0,0,0.0,Green,1,1350.0,Latin America
82.92,Colombia,2017,Caturra,Washed / Wet,0.11,0,0.0,Green,1,1500.0,Latin America
82.92,Taiwan,2016,Caturra,Natural / Dry,0.09,31,0.0,Green,0,350.0,Southeast Asia and the Pacific
82.92,Ethiopia,2016,Ethiopian Heirlooms,Washed / Wet,0.0,1,0.0,Bluish-Green,20,2000.0,East Africa and the Arabian Peninsula
82.92,Taiwan,2014,Typica,Natural / Dry,0.0,0,0.0,Green,9,775.0,Southeast Asia and the Pacific
82.92,Philippines,2015,Other,Washed / Wet,0.11,0,0.0,Blue-Green,1,1200.0,Southeast Asia and the Pacific
82.92,Philippines,2014,Other,Washed / Wet,0.0,0,0.0,Bluish-Green,0,1600.0,Southeast Asia and the Pacific
82.92,Mexico,2015,Typica,Natural / Dry,0.13,0,0.0,Blue-Green,3,1059.0,Latin America
82.92,Mexico,2015,Bourbon,Washed / Wet,0.12,2,0.0,Bluish-Green,8,1300.0,Latin America
82.92,Brazil,2014/2015,Moka Peaberry,Semi-washed / Semi-pulped,0.11,0,0.0,Green,16,11000.0,Latin America
82.92,Uganda,2013,SL14,Washed / Wet,0.12,0,0.0,Green,0,1650.0,East Africa and the Arabian Peninsula
82.92,Uganda,2013,SL14,Washed / Wet,0.12,0,0.0,Green,4,1400.0,East Africa and the Arabian Peninsula
82.92,Guatemala,2014,Bourbon,Washed / Wet,0.1,0,0.0,Green,1,1500.0,Latin America
82.92,Guatemala,2014,Caturra,Natural / Dry,0.1,0,0.0,Green,2,1500.0,Latin America
82.92,Colombia,2013,Caturra,Washed / Wet,0.11,0,0.0,Green,2,1900.0,Latin America
82.92,Colombia,2013,Caturra,Natural / Dry,0.0,0,0.0,Bluish-Green,0,1750.0,Latin America
82.92,Guatemala,2013,Bourbon,Washed / Wet,0.11,0,0.0,Green,2,1706.88,Latin America
82.92,Colombia,2013,Other,Washed / Wet,0.11,3,0.0,Green,5,1450.0,Latin America
82.92,Mexico,2012,Typica,Natural / Dry,0.1,0,0.0,Green,4,1248.0,Latin America
82.92,Vietnam,2012,Other,Natural / Dry,0.0,0,0.0,None,17,1040.0,Southeast Asia and the Pacific
82.92,Mexico,2012,Typica,Washed / Wet,0.14,1,0.0,Green,4,1400.0,Latin America
82.83,Kenya,2017,SL28,Washed / Wet,0.1,0,0.0,Green,3,1754.0,East Africa and the Arabian Peninsula
82.83,Guatemala,2017,Bourbon,Washed / Wet,0.11,1,1.0,Green,2,1700.0,Latin America
82.83,Brazil,2015,Yellow Bourbon,Pulped natural / honey,0.11,0,2.0,Bluish-Green,2,905.0,Latin America
82.83,El Salvador,2016,Pacas,Washed / Wet,0.0,0,0.0,Green,4,1250.0,Latin America
82.83,Rwanda,2015,Bourbon,Washed / Wet,0.11,0,0.0,Bluish-Green,0,1900.0,East Africa and the Arabian Peninsula
82.83,Vietnam,2014,Other,Other,0.11,11,0.0,Green,0,1040.0,Southeast Asia and the Pacific
82.83,Guatemala,2015,Bourbon,Washed / Wet,0.11,0,0.0,Green,2,1219.2,Latin America
82.83,Brazil,2015,Catuai,Natural / Dry,0.12,2,0.0,Green,6,900.0,Latin America
82.83,Guatemala,2014,Bourbon,Washed / Wet,0.1,0,0.0,Green,4,1500.0,Latin America
82.83,Colombia,2013,Typica,Natural / Dry,0.0,4,0.0,Green,4,1800.0,Latin America
82.83,Colombia,2013,Caturra,Washed / Wet,0.11,0,0.0,Green,3,1775.0,Latin America
82.83,"Tanzania, United Republic Of",2012,Arusha,Washed / Wet,0.11,0,0.0,Green,5,1400.0,East Africa and the Arabian Peninsula
82.83,Mexico,2012,Caturra,Washed / Wet,0.12,2,0.0,Green,10,1550.0,Latin America
82.83,Mexico,2012,Bourbon,Washed / Wet,0.12,0,0.0,Blue-Green,7,1250.0,Latin America
82.83,Guatemala,2012,Bourbon,Washed / Wet,0.11,0,0.0,Green,10,1310.64,Latin America
82.75,Guatemala,2017,Caturra,Washed / Wet,0.11,0,0.0,Green,8,1800.0,Latin America
82.75,Guatemala,2017,Bourbon,Washed / Wet,0.11,0,0.0,Green,4,1700.0,Latin America
82.75,Guatemala,2017,Bourbon,Washed / Wet,0.1,0,0.0,Green,1,1219.2,Latin America
82.75,Guatemala,2017,Bourbon,Washed / Wet,0.1,0,0.0,Green,1,1219.2,Latin America
82.75,Indonesia,2017,Sulawesi,Other,0.12,0,0.0,Blue-Green,15,1500.0,Southeast Asia and the Pacific
82.75,Guatemala,2017,Bourbon,Washed / Wet,0.12,0,0.0,Green,0,157.8864,Latin America
82.75,Taiwan,2016,Yellow Bourbon,Natural / Dry,0.0,0,0.0,Green,0,650.0,Southeast Asia and the Pacific
82.75,Costa Rica,2016,Caturra,Washed / Wet,0.09,0,0.0,Bluish-Green,1,1850.0,Latin America
82.75,Honduras,2017,Caturra,Natural / Dry,0.09,0,1.0,Green,6,1400.0,Latin America
82.75,Brazil,2015,Yellow Bourbon,Pulped natural / honey,0.11,0,2.0,Bluish-Green,1,905.0,Latin America
82.75,China,2015,Catimor,Natural / Dry,0.1,0,0.0,Green,0,1100.0,Southeast Asia and the Pacific
82.75,China,2015,Catimor,Washed / Wet,0.11,0,0.0,Green,2,1500.0,Southeast Asia and the Pacific
82.75,Colombia,2014,Caturra,Washed / Wet,0.0,0,0.0,Blue-Green,2,1775.0,Latin America
82.75,Malawi,2014,Gesha,Washed / Wet,0.12,0,0.0,Bluish-Green,0,1442.0,East Africa and the Arabian Peninsula
82.75,Guatemala,2014,Pacas,Washed / Wet,0.13,0,0.0,Green,2,1524.0,Latin America
82.75,Colombia,2014,Typica,Washed / Wet,0.12,0,0.0,Green,0,165.0,Latin America
82.75,Colombia,2013,Caturra,Washed / Wet,0.1,0,0.0,Green,2,1300.0,Latin America
82.75,Mexico,2013,Typica,Washed / Wet,0.12,0,0.0,Green,6,1550.0,Latin America
82.75,Colombia,2012,Caturra,Washed / Wet,0.0,0,0.0,Blue-Green,0,1625.0,Latin America
82.75,Colombia,2012,Caturra,Washed / Wet,0.11,0,0.0,Green,3,1775.0,Latin America
82.75,Panama,2012,Catuai,Washed / Wet,0.0,0,0.0,Green,4,1100.0,Latin America
82.67,Brazil,2017 / 2018,Bourbon,Natural / Dry,0.0,0,0.0,Green,4,890.0,Latin America
82.67,Brazil,2016,Bourbon,Natural / Dry,0.11,0,2.0,Bluish-Green,3,934.0,Latin America
82.67,Laos,2015,Catimor,Washed / Wet,0.13,0,0.0,Bluish-Green,0,1300.0,East Africa and the Arabian Peninsula
82.67,El Salvador,2016,Pacas,Washed / Wet,0.0,0,0.0,Green,7,1200.0,Latin America
82.67,Brazil,2015/2016,Yellow Bourbon,Natural / Dry,0.0,0,0.0,Green,0,1.0,Latin America
82.67,"Tanzania, United Republic Of",2014,Other,Washed / Wet,0.12,0,0.0,Green,0,1700.0,East Africa and the Arabian Peninsula
82.67,"Tanzania, United Republic Of",2014,Bourbon,Washed / Wet,0.12,0,0.0,Green,4,1550.0,East Africa and the Arabian Peninsula
82.67,Taiwan,2014,Typica,Washed / Wet,0.08,0,0.0,Green,0,1200.0,Southeast Asia and the Pacific
82.67,Mexico,2014,Typica,Natural / Dry,0.11,0,0.0,Green,0,1296.0,Latin America
82.67,Uganda,2013,SL14,Washed / Wet,0.12,0,0.0,Green,0,1650.0,East Africa and the Arabian Peninsula
82.67,Taiwan,2013/2014,Typica,Washed / Wet,0.11,0,0.0,Green,0,1240.0,Southeast Asia and the Pacific
82.67,Thailand,2013,Caturra,Washed / Wet,0.11,0,0.0,Bluish-Green,0,1500.0,Southeast Asia and the Pacific
82.67,Colombia,2012,Caturra,Washed / Wet,0.11,0,0.0,Bluish-Green,3,1800.0,Latin America
82.67,Guatemala,2012,Caturra,Washed / Wet,0.11,0,0.0,Green,0,1500.0,Latin America
82.58,Guatemala,2017,Bourbon,Washed / Wet,0.1,0,1.0,Green,2,1219.2,Latin America
82.58,Taiwan,2016,Typica,Pulped natural / honey,0.11,0,5.0,Green,0,1050.0,Southeast Asia and the Pacific
82.58,Indonesia,2015,Typica,Semi-washed / Semi-pulped,0.13,0,0.0,Blue-Green,6,1250.0,Southeast Asia and the Pacific
82.58,Thailand,2014,Caturra,Washed / Wet,0.12,0,0.0,Blue-Green,1,1450.0,Southeast Asia and the Pacific
82.58,Uganda,2013,SL14,Natural / Dry,0.12,0,0.0,Green,0,1650.0,East Africa and the Arabian Peninsula
82.58,Costa Rica,2013,Catuai,Washed / Wet,0.11,0,0.0,Green,3,1300.0,Latin America
82.58,Colombia,2013,Caturra,Washed / Wet,0.11,0,0.0,Blue-Green,3,1750.0,Latin America
82.58,Colombia,2013,Caturra,Washed / Wet,0.11,0,0.0,Green,0,1750.0,Latin America
82.58,Mexico,2012,Typica,Washed / Wet,0.1,0,0.0,Green,6,1250.0,Latin America
82.58,Mexico,2012,Typica,Washed / Wet,0.12,0,0.0,Green,0,1150.0,Latin America
82.58,Colombia,2012,Caturra,Washed / Wet,0.11,2,0.0,Green,2,1775.0,Latin America
82.5,Brazil,2017 / 2018,Bourbon,Natural / Dry,0.11,0,0.0,Green,4,890.0,Latin America
82.5,Indonesia,2017,Other,Washed / Wet,0.11,0,0.0,Green,5,1250.0,Southeast Asia and the Pacific
82.5,Honduras,2017,Caturra,Washed / Wet,0.1,0,0.0,Green,4,1400.0,Latin America
82.5,Guatemala,2016,Bourbon,Washed / Wet,0.1,0,2.0,Green,2,1219.2,Latin America
82.5,"Tanzania, United Republic Of",2014,Other,Washed / Wet,0.12,0,0.0,Green,1,1600.0,East Africa and the Arabian Peninsula
82.5,Mexico,2013,Other,Washed / Wet,0.0,0,0.0,Green,1,1600.0,Latin America
82.5,Brazil,2013/2014,Yellow Bourbon,Semi-washed / Semi-pulped,0.11,0,0.0,Bluish-Green,0,1260.0,Latin America
82.5,Guatemala,2013,Bourbon,Washed / Wet,0.12,0,0.0,Green,4,1310.64,Latin America
82.5,Colombia,2013,Caturra,Washed / Wet,0.11,0,0.0,Green,1,1750.0,Latin America
82.5,Guatemala,2013,Bourbon,Washed / Wet,0.11,0,0.0,Green,0,1310.64,Latin America
82.5,Mexico,2012,Typica,Washed / Wet,0.13,0,0.0,None,10,1679.0,Latin America
82.5,Mexico,2012,Typica,Washed / Wet,0.12,0,0.0,Green,5,1100.0,Latin America
82.5,Brazil,2012,Bourbon,Semi-washed / Semi-pulped,0.0,0,0.0,Blue-Green,4,1250.0,Latin America
82.5,Colombia,2012,Caturra,Washed / Wet,0.11,1,0.0,Green,3,1775.0,Latin America
82.42,Honduras,2017,Other,Washed / Wet,0.12,0,1.0,Green,6,1500.0,Latin America
82.42,Guatemala,2017,Bourbon,Washed / Wet,0.1,0,1.0,Green,2,1700.0,Latin America
82.42,Guatemala,2016,Bourbon,Washed / Wet,0.12,0,0.0,Green,0,1700.0,Latin America
82.42,Guatemala,2017,Bourbon,Washed / Wet,0.12,0,0.0,Green,0,157.8864,Latin America
82.42,Colombia,2016,Caturra,Washed / Wet,0.11,0,0.0,Green,1,1600.0,Latin America
82.42,China,2015,Catimor,Washed / Wet,0.1,0,0.0,Green,0,1600.0,Southeast Asia and the Pacific
82.42,"Tanzania, United Republic Of",2015/2016,Ruiru 11,Washed / Wet,0.13,0,0.0,Green,7,2285.0,East Africa and the Arabian Peninsula
82.42,Brazil,2015/2016,Yellow Bourbon,Natural / Dry,0.0,0,0.0,Green,0,1.0,Latin America
82.42,Guatemala,2013,Caturra,Washed / Wet,0.1,0,0.0,Green,0,1400.0,Latin America
82.42,Mexico,2014,Typica,Washed / Wet,0.11,0,0.0,Green,0,1296.0,Latin America
82.42,Brazil,2012,Catuai,Semi-washed / Semi-pulped,0.12,0,0.0,Blue-Green,1,1000.0,Latin America
82.42,Brazil,2013/2014,Yellow Bourbon,Natural / Dry,0.0,0,0.0,Green,0,1260.0,Latin America
82.42,Mexico,2013,Bourbon,Washed / Wet,0.12,0,0.0,Green,0,1170.0,Latin America
82.42,Colombia,2013,Caturra,Washed / Wet,0.11,0,0.0,Green,9,1775.0,Latin America
82.42,Mexico,2013,Typica,Washed / Wet,0.12,0,0.0,Green,5,1560.0,Latin America
82.42,Mexico,2012,Typica,Semi-washed / Semi-pulped,0.13,0,0.0,Green,2,1400.0,Latin America
82.42,Mexico,2012,Typica,Washed / Wet,0.14,0,0.0,Green,9,1300.0,Latin America
82.42,Mexico,2012,Caturra,Washed / Wet,0.13,0,0.0,Green,1,1170.0,Latin America
82.42,Mexico,2012,Typica,Washed / Wet,0.11,0,0.0,Green,0,1300.0,Latin America
82.42,Mexico,2012,Pacamara,Washed / Wet,0.14,0,0.0,Green,6,1350.0,Latin America
82.42,Mexico,2012,Caturra,Washed / Wet,0.11,0,0.0,Green,0,1150.0,Latin America
82.42,Mexico,2012,Typica,Washed / Wet,0.12,0,0.0,Bluish-Green,0,1450.0,Latin America
82.42,Colombia,2011,Caturra,Washed / Wet,0.0,0,0.0,Green,2,1750.0,Latin America
82.33,Honduras,2017,Caturra,Washed / Wet,0.1,0,1.0,Green,8,1396.0,Latin America
82.33,Brazil,2016,Catuai,Natural / Dry,0.11,0,3.0,Green,11,982.0,Latin America
82.33,Brazil,2016,Bourbon,Natural / Dry,0.11,0,2.0,Bluish-Green,3,934.0,Latin America
82.33,Costa Rica,2015,Caturra,Washed / Wet,0.1,6,1.0,Bluish-Green,3,1850.0,Latin America
82.33,Costa Rica,2015,Catuai,Washed / Wet,0.0,0,2.0,Green,0,1550.0,Latin America
82.33,China,2015,Catimor,Pulped natural / honey,0.12,0,6.0,Green,2,1580.0,Southeast Asia and the Pacific
82.33,Brazil,2015/2016,Bourbon,Natural / Dry,0.07,0,0.0,Green,0,1268.0,Latin America
82.33,Guatemala,2015,Bourbon,Washed / Wet,0.1,0,0.0,Green,6,1676.4,Latin America
82.33,Malawi,2014,Gesha,Washed / Wet,0.12,0,0.0,Green,0,1450.0,East Africa and the Arabian Peninsula
82.33,Brazil,2014/2015,Bourbon,Natural / Dry,0.11,0,0.0,Blue-Green,0,1100.0,Latin America
82.33,Guatemala,2014,Pacas,Washed / Wet,0.12,0,0.0,Green,3,1524.0,Latin America
82.33,Colombia,2013,Caturra,Washed / Wet,0.1,0,0.0,Green,2,1300.0,Latin America
82.33,Taiwan,2013/2014,Typica,Semi-washed / Semi-pulped,0.11,0,0.0,Green,0,200.0,Southeast Asia and the Pacific
82.33,Taiwan,2013/2014,Typica,Washed / Wet,0.11,0,0.0,Green,0,600.0,Southeast Asia and the Pacific
82.33,Guatemala,2013,Bourbon,Washed / Wet,0.12,2,0.0,Green,1,1310.64,Latin America
82.33,Colombia,2013,Caturra,Washed / Wet,0.0,0,0.0,Green,1,1750.0,Latin America
82.33,Mexico,2013,Typica,Washed / Wet,0.12,0,0.0,Green,3,1300.0,Latin America
82.33,Guatemala,2012,Bourbon,Washed / Wet,0.11,0,0.0,Green,3,1752.6,Latin America
82.33,Mexico,2012,Typica,Natural / Dry,0.15,1,0.0,None,8,441.0,Latin America
82.33,Mexico,2012,Bourbon,Washed / Wet,0.13,0,0.0,Green,9,1170.0,Latin America
82.33,Guatemala,2012,Bourbon,Washed / Wet,0.1,2,0.0,Green,5,1310.64,Latin America
82.33,Brazil,2012,Mundo Novo,Natural / Dry,0.12,0,0.0,Green,2,1100.0,Latin America
82.33,Mexico,2012,Typica,Washed / Wet,0.11,0,0.0,Green,0,1300.0,Latin America
82.33,Brazil,2012,Mundo Novo,Washed / Wet,0.11,0,0.0,Green,2,950.0,Latin America
82.33,Colombia,2012,Caturra,Natural / Dry,0.0,0,0.0,Green,0,442.0,Latin America
82.25,Guatemala,2016,Pacas,Washed / Wet,0.11,0,2.0,Green,2,1450.0,Latin America
82.25,Brazil,2015/2016,Yellow Bourbon,Natural / Dry,0.0,0,0.0,Green,9,1.0,Latin America
82.25,El Salvador,2014,Bourbon,Washed / Wet,0.12,0,0.0,Green,0,1500.0,Latin America
82.25,Honduras,2015,Catuai,Washed / Wet,0.11,0,0.0,Green,2,1350.0,Latin America
82.25,Malawi,2014,Gesha,Washed / Wet,0.13,0,0.0,Blue-Green,0,1180.0,East Africa and the Arabian Peninsula
82.25,Brazil,2014/2015,Bourbon,Natural / Dry,0.11,0,0.0,Green,0,1100.0,Latin America
82.25,Taiwan,2013/2014,Typica,Washed / Wet,0.11,0,0.0,Green,0,650.0,Southeast Asia and the Pacific
82.25,Mexico,2013,Mundo Novo,Washed / Wet,0.12,0,0.0,Blue-Green,4,1338.0,Latin America
82.25,Mexico,2012,Bourbon,Washed / Wet,0.16,3,0.0,None,8,533.0,Latin America
82.25,Guatemala,2012,Bourbon,Washed / Wet,0.11,0,0.0,Green,2,1390.8024,Latin America
82.25,Mexico,2012,Bourbon,Washed / Wet,0.13,0,0.0,Green,3,1170.0,Latin America
82.25,Mexico,2012,Typica,Washed / Wet,0.12,0,0.0,Green,13,1250.0,Latin America
82.25,Mexico,2012,Typica,Washed / Wet,0.11,0,0.0,Green,0,1100.0,Latin America
82.25,Mexico,2012,Typica,Washed / Wet,0.1,0,0.0,Green,3,900.0,Latin America
82.25,Colombia,2012,Caturra,Washed / Wet,0.12,0,0.0,Green,1,1750.0,Latin America
82.25,Colombia,2012,Caturra,Washed / Wet,0.11,0,0.0,Green,0,1775.0,Latin America
82.17,Brazil,2016,Bourbon,Natural / Dry,0.11,0,1.0,Green,5,934.0,Latin America
82.17,Honduras,2015,Caturra,Washed / Wet,0.11,0,1.0,Bluish-Green,2,1500.0,Latin America
82.17,"Tanzania, United Republic Of",2015,Bourbon,Washed / Wet,0.13,1,0.0,Green,6,1650.0,East Africa and the Arabian Peninsula
82.17,"Tanzania, United Republic Of",2015/2016,Other,Washed / Wet,0.12,0,0.0,Green,1,1600.0,East Africa and the Arabian Peninsula
82.17,Brazil,2015/2016,Yellow Bourbon,Natural / Dry,0.0,0,0.0,Green,1,1.0,Latin America
82.17,Honduras,2015,Catuai,Washed / Wet,0.11,0,0.0,Green,2,1350.0,Latin America
82.17,Guatemala,2014,Bourbon,Washed / Wet,0.09,0,0.0,Blue-Green,4,1500.0,Latin America
82.17,"Tanzania, United Republic Of",2014,Other,Washed / Wet,0.12,0,0.0,Green,1,1700.0,East Africa and the Arabian Peninsula
82.17,Mexico,2013,Other,Washed / Wet,0.12,0,0.0,Green,0,1100.0,Latin America
